Epoch Time (s),Vehicle State
1473876555.717475,5
1473876556.717460,5
1473876557.717459,5
1473876558.717487,5
1473876559.717851,5
1473876560.717417,5
1473876561.717446,5
1473876562.717476,5
1473876563.717442,5
1473876564.717449,5
1473876565.717446,5
1473876566.717459,5
1473876567.717450,5
1473876568.717435,5
1473876569.717446,5
1473876570.717461,5
1473876571.717430,5
1473876572.717694,5
1473876573.717427,5
1473876574.718049,5
1473876575.717477,5
1473876576.717432,5
1473876577.717415,5
1473876578.717743,5
1473876579.717472,5
1473876580.718226,5
1473876581.718633,5
1473876582.717434,5
1473876583.718060,5
1473876584.718047,5
1473876585.719218,5
1473876586.717444,5
1473876587.717487,5
1473876588.717467,5
1473876589.717419,5
1473876590.717423,5
1473876591.717458,5
1473876592.717680,5
1473876593.717443,5
1473876594.717461,5
1473876595.718073,5
1473876596.717412,5
1473876597.717560,5
1473876598.717427,5
1473876599.717684,5
1473876600.717427,5
1473876601.717589,5
1473876602.717432,5
1473876603.718867,5
1473876604.718638,5
1473876605.717468,5
1473876606.717568,5
1473876607.717442,5
1473876608.717435,5
1473876609.717412,5
1473876610.717457,5
1473876611.717454,5
1473876612.717477,5
1473876613.718115,5
1473876614.718347,5
1473876615.717527,5
1473876616.717433,5
1473876617.717442,5
1473876618.717425,5
1473876619.719820,5
1473876620.717460,5
1473876621.717441,5
1473876622.717442,5
1473876623.717424,5
1473876624.717421,5
1473876625.717427,5
1473876626.717452,5
1473876627.719647,5
1473876628.717438,5
1473876629.717419,5
1473876630.719439,5
1473876631.719448,5
1473876632.722264,5
1473876633.718736,5
1473876634.717438,5
1473876635.717872,5
1473876636.717441,5
1473876637.717433,5
1473876638.717464,5
1473876639.717433,5
1473876640.717447,5
1473876641.718289,5
1473876642.717444,5
1473876643.717455,5
1473876644.717452,5
1473876645.717477,5
1473876646.719643,5
1473876647.719200,5
1473876648.717453,5
1473876649.717439,5
1473876650.717443,5
1473876651.719262,5
1473876652.717436,5
1473876653.717440,5
1473876654.717432,5
1473876655.717441,5
1473876656.717458,5
1473876657.718290,5
1473876658.718538,5
1473876659.717626,5
1473876660.717601,5
1473876661.717448,5
1473876662.717436,5
1473876663.718265,5
1473876664.718419,5
1473876665.717427,5
1473876666.717427,5
1473876667.717441,5
1473876668.717596,5
1473876669.718944,5
1473876670.717448,5
1473876671.717421,5
1473876672.719064,5
1473876673.717456,5
1473876674.720063,5
1473876675.717440,5
1473876676.717475,5
1473876677.717436,5
1473876678.717442,5
1473876679.717450,5
1473876680.717435,5
1473876681.717490,5
1473876682.721151,5
1473876683.717439,5
1473876684.717463,5
1473876685.719242,5
1473876686.719762,5
1473876687.719712,5
1473876688.720915,5
1473876689.717742,5
1473876690.717450,5
1473876691.717420,5
1473876692.718837,5
1473876693.717463,5
1473876694.717464,5
1473876695.718933,5
1473876696.717447,5
1473876697.717430,5
1473876698.718565,5
1473876699.717672,5
1473876700.718002,5
