Epoch Time (s),VP State,Steering Control Mode,Thrust Control Mode,Control Plan State,Alarm ID,Alarm Message,Alarm State,Event ID,Event Message
1473956288.408544,5,0,0,0,,,,,
1473956289.408534,5,0,0,0,,,,,
1473956290.408609,5,0,0,0,,,,,
1473956291.408589,5,0,0,0,,,,,
1473956292.408868,5,0,0,0,,,,,
1473956293.409368,5,0,0,0,,,,,
1473956294.408539,5,0,0,0,,,,,
1473956295.408840,5,0,0,0,,,,,
1473956296.408536,5,0,0,0,,,,,
1473956297.408568,5,0,0,0,,,,,
1473956298.408701,5,0,0,0,,,,,
1473956299.408567,5,0,0,0,,,,,
1473956300.408544,5,0,0,0,,,,,
1473956301.408541,5,0,0,0,,,,,
1473956302.408533,5,0,0,0,,,,,
1473956303.410453,5,0,0,0,,,,,
1473956304.409745,5,0,0,0,,,,,
1473956305.408539,5,0,0,0,,,,,
1473956306.408536,5,0,0,0,,,,,
1473956307.408547,5,0,0,0,,,,,
1473956308.408550,5,0,0,0,,,,,
1473956309.408540,5,0,0,0,,,,,
1473956310.408540,5,0,0,0,,,,,
1473956311.408666,5,0,0,0,,,,,
1473956312.408575,5,0,0,0,,,,,
1473956313.408686,5,0,0,0,,,,,
1473956314.408544,5,0,0,0,,,,,
1473956315.409522,5,0,0,0,,,,,
1473956316.409246,5,0,0,0,,,,,
1473956317.409072,5,0,0,0,,,,,
1473956318.408550,5,0,0,0,,,,,
1473956319.408859,5,0,0,0,,,,,
1473956320.408532,5,0,0,0,,,,,
1473956321.409438,5,0,0,0,,,,,
1473956322.410703,5,0,0,0,,,,,
1473956323.408534,5,0,0,0,,,,,
1473956324.409301,5,0,0,0,,,,,
1473956325.412522,5,0,0,0,,,,,
1473956326.408529,5,0,0,0,,,,,
1473956327.408539,5,0,0,0,,,,,
1473956328.409286,5,0,0,0,,,,,
1473956329.408727,5,0,0,0,,,,,
1473956330.408544,5,0,0,0,,,,,
1473956331.409062,5,0,0,0,,,,,
1473956332.408560,5,0,0,0,,,,,
1473956333.408534,5,0,0,0,,,,,
1473956334.408545,5,0,0,0,,,,,
1473956335.408558,5,0,0,0,,,,,
1473956336.408549,5,0,0,0,,,,,
1473956337.408539,5,0,0,0,,,,,
1473956338.408529,5,0,0,0,,,,,
1473956339.410514,5,0,0,0,,,,,
1473956340.408619,5,0,0,0,,,,,
1473956341.408530,5,0,0,0,,,,,
1473956342.409491,5,0,0,0,,,,,
1473956343.408539,5,0,0,0,,,,,
1473956344.408538,5,0,0,0,,,,,
1473956345.408595,5,0,0,0,,,,,
1473956346.408529,5,0,0,0,,,,,
1473956347.408672,5,0,0,0,,,,,
1473956348.408816,5,0,0,0,,,,,
1473956349.408549,5,0,0,0,,,,,
1473956350.408534,5,0,0,0,,,,,
1473956351.408529,5,0,0,0,,,,,
1473956352.408566,5,0,0,0,,,,,
1473956353.408542,5,0,0,0,,,,,
1473956354.408561,5,0,0,0,,,,,
1473956355.408613,5,0,0,0,,,,,
1473956356.408540,5,0,0,0,,,,,
1473956357.408554,5,0,0,0,,,,,
1473956358.410232,5,0,0,0,,,,,
1473956359.408531,5,0,0,0,,,,,
1473956360.408640,5,0,0,0,,,,,
1473956361.408534,5,0,0,0,,,,,
1473956362.408697,5,0,0,0,,,,,
1473956363.408531,5,0,0,0,,,,,
1473956364.409088,5,0,0,0,,,,,
1473956365.408542,5,0,0,0,,,,,
1473956366.408532,5,0,0,0,,,,,
1473956367.408530,5,0,0,0,,,,,
1473956368.408615,5,0,0,0,,,,,
1473956369.408537,5,0,0,0,,,,,
1473956370.408534,5,0,0,0,,,,,
1473956371.409715,5,0,0,0,,,,,
1473956372.408834,5,0,0,0,,,,,
1473956373.408550,5,0,0,0,,,,,
1473956374.408555,5,0,0,0,,,,,
1473956375.409569,5,0,0,0,,,,,
1473956376.409760,5,0,0,0,,,,,
1473956377.409156,5,0,0,0,,,,,
1473956378.410829,5,0,0,0,,,,,
1473956379.408628,5,0,0,0,,,,,
1473956380.408557,5,0,0,0,,,,,
1473956381.410852,5,0,0,0,,,,,
1473956382.409035,5,0,0,0,,,,,
1473956383.408535,5,0,0,0,,,,,
1473956384.408538,5,0,0,0,,,,,
1473956385.408543,5,0,0,0,,,,,
1473956386.408537,5,0,0,0,,,,,
1473956387.408590,5,0,0,0,,,,,
1473956388.408536,5,0,0,0,,,,,
1473956389.408543,5,0,0,0,,,,,
1473956390.408567,5,0,0,0,,,,,
1473956391.408532,5,0,0,0,,,,,
1473956392.408961,5,0,0,0,,,,,
1473956393.408531,5,0,0,0,,,,,
1473956394.408542,5,0,0,0,,,,,
1473956395.408542,5,0,0,0,,,,,
